,date,id,meals,occasion
114,1900-04-18,12596.0,UNKNOWN,UNKNOWN
115,1900-04-18,12597.0,UNKNOWN,UNKNOWN
116,1900-04-18,12598.0,UNKNOWN,UNKNOWN
117,1900-04-18,12599.0,UNKNOWN,UNKNOWN
118,1900-04-18,12600.0,UNKNOWN,UNKNOWN
119,1900-04-18,12601.0,UNKNOWN,UNKNOWN
120,1900-04-18,12602.0,UNKNOWN,UNKNOWN
121,1900-04-18,12603.0,UNKNOWN,UNKNOWN
122,1900-04-18,12604.0,UNKNOWN,UNKNOWN
123,1900-04-19,12605.0,UNKNOWN,UNKNOWN
124,1900-04-19,12606.0,UNKNOWN,UNKNOWN
125,1900-04-19,12607.0,UNKNOWN,UNKNOWN
126,1900-04-20,12609.0,UNKNOWN,UNKNOWN
127,1900-04-20,12610.0,UNKNOWN,UNKNOWN
128,1900-04-20,12611.0,UNKNOWN,UNKNOWN
129,1900-04-20,12613.0,UNKNOWN,UNKNOWN
130,1900-04-21,12614.0,UNKNOWN,UNKNOWN
131,1900-04-21,12616.0,UNKNOWN,UNKNOWN
132,1900-04-21,12617.0,UNKNOWN,UNKNOWN
133,1900-04-22,12618.0,UNKNOWN,UNKNOWN
134,1900-04-22,12619.0,UNKNOWN,UNKNOWN
135,1900-04-22,12620.0,UNKNOWN,UNKNOWN
136,1900-04-23,12621.0,UNKNOWN,UNKNOWN
137,1900-04-23,12622.0,UNKNOWN,UNKNOWN
138,1900-02-18,12624.0,UNKNOWN,UNKNOWN
139,1900-02-18,12625.0,UNKNOWN,UNKNOWN
140,1900-02-18,12626.0,UNKNOWN,UNKNOWN
141,1900-02-19,12627.0,UNKNOWN,UNKNOWN
142,1900-02-19,12628.0,UNKNOWN,UNKNOWN
143,1900-02-20,12629.0,UNKNOWN,UNKNOWN
144,1900-02-20,12630.0,UNKNOWN,UNKNOWN
145,1890-01-06,12632.0,UNKNOWN,UNKNOWN
146,1890-01-08,12633.0,UNKNOWN,UNKNOWN
147,1888-10-15,12635.0,UNKNOWN,UNKNOWN
148,1865-06-09,12636.0,UNKNOWN,UNKNOWN
149,1892-05-19,12637.0,UNKNOWN,UNKNOWN
150,1901-06-03,12638.0,UNKNOWN,UNKNOWN
151,1901-06-04,12639.0,UNKNOWN,UNKNOWN
152,1901-06-05,12640.0,UNKNOWN,UNKNOWN
153,1901-06-05,12641.0,UNKNOWN,UNKNOWN
154,1901-01-01,12642.0,UNKNOWN,UNKNOWN
155,1901-01-01,12643.0,UNKNOWN,UNKNOWN
156,1901-06-05,12644.0,UNKNOWN,UNKNOWN
157,1900-02-25,12645.0,UNKNOWN,UNKNOWN
158,1900-02-26,12646.0,UNKNOWN,UNKNOWN
159,1900-02-26,12647.0,UNKNOWN,UNKNOWN
160,1900-02-26,12648.0,UNKNOWN,UNKNOWN
161,1900-02-26,12649.0,UNKNOWN,UNKNOWN
162,1900-02-26,12650.0,UNKNOWN,UNKNOWN
163,1900-02-26,12651.0,UNKNOWN,UNKNOWN
164,1900-02-26,12652.0,UNKNOWN,UNKNOWN
165,1900-02-26,12653.0,UNKNOWN,UNKNOWN
166,1900-03-11,12654.0,UNKNOWN,UNKNOWN
167,1900-03-11,12655.0,UNKNOWN,UNKNOWN
168,1900-03-11,12656.0,UNKNOWN,UNKNOWN
169,1900-03-11,12657.0,UNKNOWN,UNKNOWN
170,1900-03-27,12658.0,UNKNOWN,UNKNOWN
